127.0.0.1, 2015-08-31 12:58:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-08-31 12:58:27, POST, /admin/default/index, HTTP/1.1, 303, 0.362000
127.0.0.1, 2015-08-31 12:58:27, GET, /admin/default/site, HTTP/1.1, 200, 0.347000
127.0.0.1, 2015-08-31 12:58:28, POST, /admin/default/check_version, HTTP/1.1, 200, 0.704000
127.0.0.1, 2015-08-31 12:58:29, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-08-31 12:58:34, GET, /Ortodontie/default/index, HTTP/1.1, 500, 1.119000
127.0.0.1, 2015-08-31 12:58:35, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-08-31 12:58:49, GET, /Ortodontie/defualt/index.html, HTTP/1.1, 404, 0.074000
127.0.0.1, 2015-08-31 12:58:50, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2015-08-31 12:58:55, GET, /Ortodontie/default/index.html, HTTP/1.1, 500, 0.122000
127.0.0.1, 2015-08-31 12:58:55, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-08-31 12:58:56, GET, /admin/default/ticket/Ortodontie/127.0.0.1.2015-08-31.12-58-54.924f44ea-8039-4540-98e9-c48d52d15d0a, HTTP/1.1, 303, 0.052000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/default/index, HTTP/1.1, 200, 0.185000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/css/calendar.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 200, 0.024000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 200, 0.029000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.021000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.020000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.020000
00
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.019000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-08-31 12:58:57, GET, /admin/static/_2.11.2/images/questions.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-08-31 12:58:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-08-31 12:59:03, POST, /admin/default/index, HTTP/1.1, 303, 0.268000
127.0.0.1, 2015-08-31 12:59:04, GET, /admin/default/ticket/Ortodontie/127.0.0.1.2015-08-31.12-58-54.924f44ea-8039-4540-98e9-c48d52d15d0a, HTTP/1.1, 200, 0.226000
127.0.0.1, 2015-08-31 12:59:04, GET, /admin/static/_2.11.2/images/help.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-08-31 12:59:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-08-31 13:00:28, GET, /Ortodontie/default/index, HTTP/1.1, 200, 0.082000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/css/bootstrap.min.css, HTTP/1.1, 404, 0.388000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/css/font-awesome.css, HTTP/1.1, 404, 0.387000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/css/style.css, HTTP/1.1, 404, 0.435000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/js/jquery.easing.min.js, HTTP/1.1, 404, 0.486000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/js/ga.js, HTTP/1.1, 404, 0.521000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/js/bootstrap.min.js, HTTP/1.1, 404, 0.558000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/js/alternate.js, HTTP/1.1, 404, 0.336000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/js/scrolling-nav.js, HTTP/1.1, 404, 0.329000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/image/metalic_brackets2.jpg, HTTP/1.1, 404, 0.293000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/image/saphire_brackets2.jpg, HTTP/1.1, 404, 0.090000
127.0.0.1, 2015-08-31 13:00:29, GET, /Ortodontie/default/image/metalic_brackets2.jpg, HTTP/1.1, 404, 0.046000
127.0.0.1, 2015-08-31 13:00:30, GET, /Ortodontie/default/image/favicon.ico, HTTP/1.1, 404, 0.106000
127.0.0.1, 2015-08-31 13:00:34, GET, /Ortodontie/default/index.html, HTTP/1.1, 200, 0.054000
127.0.0.1, 2015-08-31 13:00:35, GET, /Ortodontie/default/css/bootstrap.min.css, HTTP/1.1, 404, 0.346000
127.0.0.1, 2015-08-31 13:00:35, GET, /Ortodontie/default/css/style.css, HTTP/1.1, 404, 0.348000
127.0.0.1, 2015-08-31 13:00:35, GET, /Ortodontie/default/css/font-awesome.css, HTTP/1.1, 404, 0.396000
127.0.0.1, 2015-08-31 13:00:35, GET, /Ortodontie/default/js/bootstrap.min.js, HTTP/1.1, 404, 0.478000
127.0.0.1, 2015-08-31 13:00:35, GET, /Ortodontie/default/js/ga.js, HTTP/1.1, 404, 0.515000
127.0.0.1, 2015-08-31 13:00:35, GET, /Ortodontie/default/js/jquery.easing.min.js, HTTP/1.1, 404, 0.540000
127.0.0.1, 2015-08-31 13:00:35, GET, /Ortodontie/default/js/scrolling-nav.js, HTTP/1.1, 404, 0.317000
127.0.0.1, 2015-08-31 13:00:35, GET, /Ortodontie/default/js/alternate.js, HTTP/1.1, 404, 0.311000
127.0.0.1, 2015-08-31 13:00:35, GET, /Ortodontie/default/image/metalic_brackets2.jpg, HTTP/1.1, 404, 0.262000
127.0.0.1, 2015-08-31 13:00:35, GET, /Ortodontie/default/image/saphire_brackets2.jpg, HTTP/1.1, 404, 0.047000
127.0.0.1, 2015-08-31 13:03:09, GET, /Ortodontie/default/index.html, HTTP/1.1, 200, 0.105000
127.0.0.1, 2015-08-31 13:03:09, GET, /Ortodontie/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2015-08-31 13:03:09, GET, /Ortodontie/static/css/style.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-08-31 13:03:09, GET, /Ortodontie/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2015-08-31 13:03:09, GET, /Ortodontie/static/js/ga.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2015-08-31 13:03:09, GET, /Ortodontie/static/css/font-awesome.css, HTTP/1.1, 200, 0.024000
127.0.0.1, 2015-08-31 13:03:09, GET, /Ortodontie/static/js/jquery.easing.min.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2015-08-31 13:03:09, GET, /Ortodontie/static/js/scrolling-nav.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2015-08-31 13:03:09, GET, /Ortodontie/static/js/alternate.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2015-08-31 13:03:09, GET, /Ortodontie/static/css/owl.carousel.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2015-08-31 13:03:09, GET, /Ortodontie/static/css/owl.theme.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-08-31 13:03:09, GET, /Ortodontie/default/image/metalic_brackets2.jpg, HTTP/1.1, 404, 0.092000
127.0.0.1, 2015-08-31 13:03:09, GET, /Ortodontie/default/image/saphire_brackets2.jpg, HTTP/1.1, 404, 0.042000
127.0.0.1, 2015-08-31 13:03:10, GET, /Ortodontie/default/image/saphire_brackets2.jpg, HTTP/1.1, 404, 0.179000
127.0.0.1, 2015-08-31 13:03:10, GET, /Ortodontie/default/image/metalic_brackets2.jpg, HTTP/1.1, 404, 0.191000
127.0.0.1, 2015-08-31 13:03:11, GET, /Ortodontie/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-08-31 13:04:13, GET, /Ortodontie/default/index.html, HTTP/1.1, 200, 0.065000
127.0.0.1, 2015-08-31 13:04:13, GET, /Ortodontie/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-08-31 13:04:13, GET, /Ortodontie/static/css/style.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-08-31 13:04:13, GET, /Ortodontie/static/js/ga.js, HTTP/1.1, 304, 0.010000
127.0.0.1, 2015-08-31 13:04:13, GET, /Ortodontie/static/css/font-awesome.css, HTTP/1.1, 304, 0.009000
127.0.0.1, 2015-08-31 13:04:13, GET, /Ortodontie/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.010000
127.0.0.1, 2015-08-31 13:04:13, GET, /Ortodontie/static/js/jquery.easing.min.js, HTTP/1.1, 304, 0.009000
127.0.0.1, 2015-08-31 13:04:13, GET, /Ortodontie/static/js/scrolling-nav.js, HTTP/1.1, 304, 0.012000
127.0.0.1, 2015-08-31 13:04:13, GET, /Ortodontie/static/js/alternate.js, HTTP/1.1, 304, 0.019000
127.0.0.1, 2015-08-31 13:04:13, GET, /Ortodontie/static/css/owl.carousel.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-08-31 13:04:13, GET, /Ortodontie/static/css/owl.theme.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-08-31 13:04:14, GET, /Ortodontie/default/image/metalic_brackets2.jpg, HTTP/1.1, 404, 0.073000
